subject,Two-hands and jerked
arm,neither
label,0
hz,100.17106135092234
time,5.061342

timestamp_us,q0,q1,q2,q3,ax,ay,az,gx,gy,gz
282747449,0.60406494140625,-0.77325439453125,0.19219970703125,-0.0157470703125,-1900,-7802,-2301,-5,-32,-8
282757432,0.60430908203125,-0.77386474609375,0.189208984375,-0.0130615234375,-1975,-7800,-2294,-5,-33,-9
282767416,0.6046142578125,-0.7744140625,0.18597412109375,-0.010498046875,-2064,-7808,-2275,-5,-33,-11
282777398,0.6048583984375,-0.77508544921875,0.18255615234375,-0.00799560546875,-2141,-7826,-2290,-5,-33,-13
282787376,0.605224609375,-0.775634765625,0.178955078125,-0.00555419921875,-2209,-7898,-2292,-5,-34,-15
282797358,0.6055908203125,-0.7762451171875,0.1751708984375,-0.0030517578125,-2288,-7988,-2296,-4,-36,-15
282807344,0.6060791015625,-0.7767333984375,0.1712646484375,-0.00048828125,-2346,-8085,-2286,-4,-36,-15
282817325,0.606689453125,-0.77716064453125,0.16729736328125,0.00213623046875,-2420,-8164,-2264,-3,-37,-17
282827306,0.60736083984375,-0.77752685546875,0.16302490234375,0.00469970703125,-2499,-8234,-2253,-2,-38,-19
282837293,0.608154296875,-0.77783203125,0.1583251953125,0.00701904296875,-2550,-8333,-2273,0,-39,-24
282847272,0.60906982421875,-0.77813720703125,0.153076171875,0.009033203125,-2558,-8470,-2291,2,-40,-29
282857256,0.6102294921875,-0.7783203125,0.1473388671875,0.0106201171875,-2533,-8650,-2298,4,-41,-33
282867237,0.61163330078125,-0.77838134765625,0.14105224609375,0.01190185546875,-2471,-8821,-2318,6,-41,-37
282877229,0.6131591796875,-0.7783203125,0.13446044921875,0.012939453125,-2390,-8993,-2372,8,-42,-40
282887211,0.61492919921875,-0.778076171875,0.12762451171875,0.013671875,-2284,-9191,-2403,12,-42,-41
282897193,0.61700439453125,-0.77752685546875,0.1207275390625,0.01434326171875,-2172,-9386,-2427,15,-42,-42
282907186,0.61932373046875,-0.7767333984375,0.11376953125,0.014892578125,-2063,-9549,-2463,18,-41,-42
282917173,0.62188720703125,-0.775634765625,0.10675048828125,0.0152587890625,-1946,-9639,-2471,22,-41,-43
282927154,0.624755859375,-0.7742919921875,0.09967041015625,0.01531982421875,-1817,-9644,-2440,25,-40,-45
282937123,0.62786865234375,-0.772705078125,0.09228515625,0.01495361328125,-1678,-9612,-2400,28,-38,-49
282947107,0.631103515625,-0.77093505859375,0.0848388671875,0.01416015625,-1533,-9552,-2368,31,-36,-51
282957089,0.634521484375,-0.7689208984375,0.077392578125,0.0130615234375,-1383,-9511,-2343,33,-35,-51
